ID,Seller,Category,Locations,Price,Currency,Rooms,Area,Floor
2890746,Owner,Yeni tikili,"['Sabunchu r.', 'Nardaran q.']",327500,AZN,2,123.6,1
2898312,Owner,Kohna tikili,"['Nizami r.', '8-ci kilometr q.']",85000,AZN,2,45.0,2
2729648,Owner,Yeni tikili,['Nasimi r.'],450000,AZN,3,178.0,6
2860733,Agentlik,Kohna tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",123500,AZN,3,85.0,9
2917268,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",370000,AZN,4,181.0,2
2917267,Agentlik,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.']",214000,AZN,3,100.0,15
2917266,Owner,Yeni tikili,"['Neftchilar m.', 'Nizami r.']",108000,AZN,2,62.0,14
2851104,Agentlik,Yeni tikili,"['Nasimi r.', '3-cu mikrorayon q.']",105000,AZN,2,65.0,13
2861523,Agentlik,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",168000,AZN,3,119.0,11
2762774,Agentlik,Yeni tikili,['Yasamal r.'],270000,AZN,3,120.0,12
2815718,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.', 'Yasamal q.']",225000,AZN,3,104.0,15
2856249,Agentlik,Yeni tikili,"['Memar Acami m.', 'Nasimi r.', '3-cu mikrorayon q.']",84500,AZN,2,57.1,3
2917161,Owner,Yeni tikili,"['Sabail r.', 'Bayil q.']",99000,AZN,2,50.0,15
2814748,Owner,Yeni tikili,['Yasamal r.'],294000,AZN,3,154.6,5
2881266,Owner,Yeni tikili,"['20 Yanvar m.', 'Yasamal r.']",112000,AZN,2,50.0,20
2917258,Owner,Yeni tikili,"['Nizami r.', '8-ci kilometr q.']",85000,AZN,2,51.0,11
2917257,Owner,Yeni tikili,"['Ahmadli m.', 'Xatai r.']",175000,AZN,3,124.0,12
2917256,Owner,Yeni tikili,"['Xatai r.', 'Ahmadli q.']",89500,AZN,2,51.0,7
2917255,Agentlik,Kohna tikili,"['Neftchilar m.', 'Nizami r.']",52500,AZN,1,32.0,1
2913901,Agentlik,Kohna tikili,['Xatai r.'],55000,AZN,2,40.0,9
2917254,Owner,Yeni tikili,"['Qara Qarayev m.', 'Nizami r.', '8-ci kilometr q.']",143000,AZN,3,70.0,12
2917253,Agentlik,Yeni tikili,"['Elmlar Akademiyasi m.', 'Yasamal r.']",139000,AZN,2,107.0,3
2856530,Agentlik,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",93600,AZN,2,52.0,3
2876698,Agentlik,Yeni tikili,['Nizami r.'],235000,AZN,4,141.0,4
2917251,Agentlik,Yeni tikili,"['Xatai r.', 'Ag shahar q.']",190000,AZN,3,102.0,8
2917250,Owner,Yeni tikili,"['Ahmadli m.', 'Xatai r.']",110000,AZN,2,72.0,7
2860580,Agentlik,Yeni tikili,['Xatai r.'],155000,AZN,3,94.0,5
2860484,Agentlik,Yeni tikili,"['28 May m.', 'Nasimi r.']",338000,AZN,4,206.0,9
2099374,Owner,Yeni tikili,"['Absheron r.', 'Novxani q.']",120653,AZN,2,92.8,6
2329048,Agentlik,Yeni tikili,['Xatai r.'],215000,AZN,2,103.0,5
2611873,Agentlik,Yeni tikili,"['Binaqadi r.', '7-ci mikrorayon q.']",92170,AZN,2,70.9,5
2787990,Agentlik,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.']",150000,AZN,4,144.0,4
2917247,Owner,Kohna tikili,"['Xatai r.', 'Ahmadli q.']",120000,AZN,5,110.0,9
2870397,Agentlik,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.']",169500,AZN,3,115.0,4
2792929,Agentlik,Yeni tikili,"['Qara Qarayev m.', 'Nizami r.']",190000,AZN,3,105.0,18
2917245,Owner,Yeni tikili,"['Qara Qarayev m.', 'Nizami r.']",185000,AZN,3,90.0,12
2853334,Agentlik,Yeni tikili,['Nizami r.'],140000,AZN,3,105.0,10
2825094,Agentlik,Yeni tikili,['Xatai r.'],215000,AZN,3,142.0,4
2917242,Agentlik,Yeni tikili,['Xatai r.'],395000,AZN,4,196.0,20
2899968,Agentlik,Yeni tikili,['Nizami r.'],162000,AZN,3,90.0,14
2895765,Agentlik,Yeni tikili,"['Hazi Aslanov m.', 'Xatai r.']",125000,AZN,2,75.0,3
2917241,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.']",217000,AZN,3,100.0,15
2917240,Owner,Kohna tikili,"['Memar Acami m.', 'Nasimi r.', '4-cu mikrorayon q.']",65000,AZN,1,34.0,2
2912963,Agentlik,Yeni tikili,"['Nizami m.', 'Nasimi r.']",150000,AZN,2,59.0,10
2912940,Agentlik,Yeni tikili,"['Nizami m.', 'Nasimi r.']",255000,AZN,3,139.0,8
2876977,Owner,Yeni tikili,"['Nizami m.', 'Nasimi r.']",239000,AZN,3,133.2,7
2879305,Owner,Yeni tikili,"['Sabail r.', 'Badamdar q.']",185000,AZN,4,166.0,7
2917232,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yasamal q.']",195000,AZN,2,90.0,12
2917231,Agentlik,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",185000,AZN,3,95.0,2
2869191,Owner,Yeni tikili,"['Binaqadi r.', '9-cu mikrorayon q.']",131000,AZN,3,85.0,16
2842150,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yeni Yasamal q.']",250000,AZN,4,150.0,7
2902206,Agentlik,Yeni tikili,['Narimanov r.'],285000,AZN,4,168.0,8
2917228,Owner,Yeni tikili,"['Yasamal r.', 'Yeni Yasamal q.']",78000,AZN,2,66.0,14
2456658,Agentlik,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",2200000,AZN,5,500.0,8
2917224,Agentlik,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",190000,AZN,5,155.0,8
2914454,Agentlik,Yeni tikili,['Narimanov r.'],980000,AZN,5,300.0,4
2912851,Owner,Yeni tikili,"['Yasamal r.', 'Yasamal q.']",225000,AZN,2,99.0,25
2900244,Agentlik,Yeni tikili,['Sabail r.'],163000,AZN,3,89.0,16
2625410,Owner,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",650000,AZN,4,185.0,10
2908022,Owner,Yeni tikili,['Narimanov r.'],84000,AZN,1,38.0,12
2917223,Owner,Yeni tikili,"['Neftchilar m.', 'Nizami r.']",159000,AZN,3,86.0,14
2917222,Agentlik,Yeni tikili,"['Xatai r.', 'Ag shahar q.']",310000,AZN,3,146.0,8
2917221,Owner,Yeni tikili,"['Inshaatchilar m.', 'Yasamal r.', 'Yasamal q.']",262620,AZN,3,145.9,19
2917218,Owner,Yeni tikili,"['Sabail r.', 'Bayil q.']",125000,AZN,2,75.0,17
2917216,Agentlik,Kohna tikili,['Yasamal r.'],121000,AZN,3,80.0,4
2898093,Agentlik,Yeni tikili,"['Qara Qarayev m.', 'Nizami r.']",88000,AZN,2,60.0,3
2900879,Owner,Yeni tikili,"['Nizami r.', '8-ci kilometr q.']",155000,AZN,3,120.0,12
2850605,Owner,Yeni tikili,"['Nasimi m.', 'Nasimi r.']",209000,AZN,4,163.0,14
2869589,Agentlik,Yeni tikili,"['Ahmadli m.', 'Xatai r.']",110000,AZN,2,60.0,16
2884082,Owner,Yeni tikili,"['8 Noyabr m.', 'Nasimi r.']",157000,AZN,3,144.6,19
2855058,Owner,Yeni tikili,['Narimanov r.'],110000,AZN,2,73.0,13
2523722,Owner,Yeni tikili,"['Shah Ismayil Xatai m.', 'Xatai r.']",750000,AZN,4,266.0,10
2905120,Owner,Yeni tikili,['Narimanov r.'],236000,AZN,3,100.0,12
2854994,Owner,Yeni tikili,"['28 May m.', 'Narimanov r.']",85000,AZN,2,41.0,15
2915416,Agentlik,Kohna tikili,"['Memar Acami m.', 'Binaqadi r.', '9-cu mikrorayon q.']",110000,AZN,2,65.0,5
2917212,Agentlik,Kohna tikili,"['Xatai r.', 'Hazi Aslanov q.']",73000,AZN,1,52.0,5
2644924,Owner,Yeni tikili,['Nasimi r.'],335000,AZN,3,140.0,11
2917211,Owner,Yeni tikili,"['Sabail r.', 'Badamdar q.']",238000,AZN,4,238.0,15
2917205,Agentlik,Kohna tikili,['Nasimi r.'],89000,AZN,2,45.0,3
2917204,Owner,Yeni tikili,"['Suraxani r.', 'Yeni Gunashli q.']",78000,AZN,2,57.0,6
2917203,Agentlik,Kohna tikili,"['Yasamal r.', 'Yeni Yasamal q.']",100000,AZN,3,78.0,2
